route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L,B20130803WKD,B20130803WKD_040500_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_044800_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_040600_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_045300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041200_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_045700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041750_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_046100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_046500_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_042400_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_046900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_042950_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_047300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_043000_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_047700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_043600_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_048100_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_044150_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_048500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_044200_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_048900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_044800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_049300_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_045350_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_049700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_045400_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_050050_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_045950_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_050400_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_046450_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_050750_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_046650_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_051050_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_048600_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_051350_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_047050_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_051650_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_047700_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_051950_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_047850_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_052250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_048300_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_052550_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_048450_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_052850_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_050400_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_053150_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_048950_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_053450_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_049500_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_053750_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_049650_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_054050_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_051600_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_054350_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_050150_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_054650_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_050550_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_055000_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_052550_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_055350_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_051150_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_055700_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_051600_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_056100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_052000_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_056500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_054050_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_056900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_052750_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_057300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_053300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_057700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_055250_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_058100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_054000_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_058500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_054500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_058900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_054900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_059300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_055300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_059700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_055700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_060100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_056100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_060500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_058050_L..N05R,8 AV,0,,L..N05R
L,B20130803WKD,B20130803WKD_061100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_056700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_057400_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_061700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_057900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_062300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_058400_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_062900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_058900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_063500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_059500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_064100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_060100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_064700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_060700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_065300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_061300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_065900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_061900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_066500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_062500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_067100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_063100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_067700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_063700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_068300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_064300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_068900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_064900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_069500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_065500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_070100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_066100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_070700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_066700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_071300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_067300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_071900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_067900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_072500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_068500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_073100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_069100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_073700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_069700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_074300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_070300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_074900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_070900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_075500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_071500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_076100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_072100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_076700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_072700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_077300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_073300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_077900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_073900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_078500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_074500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_079100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
