trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20130803WKD_053300_L..N01R,9:32:00,9:32:00,L01N,24,,0,0
B20130803WKD_055250_L..N05R,9:36:00,9:36:00,L01N,14,,0,0
B20130803WKD_054000_L..N01R,9:40:00,9:40:00,L01N,24,,0,0
B20130803WKD_054500_L..N01R,9:44:00,9:44:00,L01N,24,,0,0
B20130803WKD_054900_L..N01R,9:48:00,9:48:00,L01N,24,,0,0
B20130803WKD_055300_L..N01R,9:52:00,9:52:00,L01N,24,,0,0
B20130803WKD_055700_L..N01R,9:56:00,9:56:00,L01N,24,,0,0
B20130803WKD_056100_L..N01R,10:00:00,10:00:00,L01N,24,,0,0
B20130803WKD_058050_L..N05R,10:04:00,10:04:00,L01N,14,,0,0
B20130803WKD_056700_L..N01R,10:08:00,10:08:00,L01N,24,,0,0
B20130803WKD_057400_L..N01R,10:13:00,10:13:00,L01N,24,,0,0
B20130803WKD_057900_L..N01R,10:18:00,10:18:00,L01N,24,,0,0
B20130803WKD_058400_L..N01R,10:23:00,10:23:00,L01N,24,,0,0
B20130803WKD_058900_L..N01R,10:28:00,10:28:00,L01N,24,,0,0
B20130803WKD_059500_L..N01R,10:33:00,10:33:00,L01N,24,,0,0
B20130803WKD_060100_L..N01R,10:38:30,10:38:30,L01N,24,,0,0
B20130803WKD_060700_L..N01R,10:44:30,10:44:30,L01N,24,,0,0
B20130803WKD_061300_L..N01R,10:50:30,10:50:30,L01N,24,,0,0
B20130803WKD_061900_L..N01R,10:56:30,10:56:30,L01N,24,,0,0
B20130803WKD_062500_L..N01R,11:02:30,11:02:30,L01N,24,,0,0
B20130803WKD_063100_L..N01R,11:08:30,11:08:30,L01N,24,,0,0
B20130803WKD_063700_L..N01R,11:14:30,11:14:30,L01N,24,,0,0
B20130803WKD_064300_L..N01R,11:20:30,11:20:30,L01N,24,,0,0
B20130803WKD_064900_L..N01R,11:26:30,11:26:30,L01N,24,,0,0
B20130803WKD_065500_L..N01R,11:32:30,11:32:30,L01N,24,,0,0
B20130803WKD_066100_L..N01R,11:38:30,11:38:30,L01N,24,,0,0
B20130803WKD_066700_L..N01R,11:44:30,11:44:30,L01N,24,,0,0
B20130803WKD_067300_L..N01R,11:50:30,11:50:30,L01N,24,,0,0
B20130803WKD_067900_L..N01R,11:56:30,11:56:30,L01N,24,,0,0
B20130803WKD_068500_L..N01R,12:02:30,12:02:30,L01N,24,,0,0
B20130803WKD_069100_L..N01R,12:08:30,12:08:30,L01N,24,,0,0
B20130803WKD_069700_L..N01R,12:14:30,12:14:30,L01N,24,,0,0
B20130803WKD_070300_L..N01R,12:20:30,12:20:30,L01N,24,,0,0
B20130803WKD_070900_L..N01R,12:26:30,12:26:30,L01N,24,,0,0
B20130803WKD_071500_L..N01R,12:32:30,12:32:30,L01N,24,,0,0
B20130803WKD_072100_L..N01R,12:38:30,12:38:30,L01N,24,,0,0
B20130803WKD_072700_L..N01R,12:44:30,12:44:30,L01N,24,,0,0
B20130803WKD_073300_L..N01R,12:50:30,12:50:30,L01N,24,,0,0
B20130803WKD_073900_L..N01R,12:56:30,12:56:30,L01N,24,,0,0
B20130803WKD_074500_L..N01R,13:02:30,13:02:30,L01N,24,,0,0
B20130803WKD_075100_L..N01R,13:08:30,13:08:30,L01N,24,,0,0
B20130803WKD_075700_L..N01R,13:14:30,13:14:30,L01N,24,,0,0
B20130803WKD_076300_L..N01R,13:20:30,13:20:30,L01N,24,,0,0
B20130803WKD_076900_L..N01R,13:26:30,13:26:30,L01N,24,,0,0
B20130803WKD_077500_L..N01R,13:32:30,13:32:30,L01N,24,,0,0
B20130803WKD_078100_L..N01R,13:38:30,13:38:30,L01N,24,,0,0
B20130803WKD_078700_L..N01R,13:44:30,13:44:30,L01N,24,,0,0
B20130803WKD_079300_L..N01R,13:50:30,13:50:30,L01N,24,,0,0
B20130803WKD_079800_L..N01R,13:55:30,13:55:30,L01N,24,,0,0
B20130803WKD_080450_L..N02R,14:00:30,14:00:30,L01N,23,,0,0
B20130803WKD_080800_L..N01R,14:05:30,14:05:30,L01N,24,,0,0
B20130803WKD_081300_L..N01R,14:10:30,14:10:30,L01N,24,,0,0
B20130803WKD_081800_L..N01R,14:15:30,14:15:30,L01N,24,,0,0
B20130803WKD_082300_L..N01R,14:20:30,14:20:30,L01N,24,,0,0
B20130803WKD_082800_L..N01R,14:25:30,14:25:30,L01N,24,,0,0
B20130803WKD_083450_L..N02R,14:30:30,14:30:30,L01N,23,,0,0
B20130803WKD_083800_L..N01R,14:35:30,14:35:30,L01N,24,,0,0
B20130803WKD_084300_L..N01R,14:40:30,14:40:30,L01N,24,,0,0
B20130803WKD_084800_L..N01R,14:45:30,14:45:30,L01N,24,,0,0
B20130803WKD_085300_L..N01R,14:50:30,14:50:30,L01N,24,,0,0
B20130803WKD_085800_L..N01R,14:55:30,14:55:30,L01N,24,,0,0
B20130803WKD_086300_L..N01R,15:00:30,15:00:30,L01N,24,,0,0
B20130803WKD_086950_L..N02R,15:05:30,15:05:30,L01N,23,,0,0
B20130803WKD_087300_L..N01R,15:10:30,15:10:30,L01N,24,,0,0
B20130803WKD_087800_L..N01R,15:15:30,15:15:30,L01N,24,,0,0
B20130803WKD_088300_L..N01R,15:20:30,15:20:30,L01N,24,,0,0
B20130803WKD_088800_L..N01R,15:25:30,15:25:30,L01N,24,,0,0
B20130803WKD_089300_L..N01R,15:30:30,15:30:30,L01N,24,,0,0
B20130803WKD_089800_L..N01R,15:35:30,15:35:30,L01N,24,,0,0
B20130803WKD_090300_L..N01R,15:40:30,15:40:30,L01N,24,,0,0
B20130803WKD_090800_L..N01R,15:45:30,15:45:30,L01N,24,,0,0
B20130803WKD_091300_L..N01R,15:50:30,15:50:30,L01N,24,,0,0
B20130803WKD_091800_L..N01R,15:55:30,15:55:30,L01N,24,,0,0
B20130803WKD_092300_L..N01R,16:00:30,16:00:30,L01N,24,,0,0
B20130803WKD_092800_L..N01R,16:05:30,16:05:30,L01N,24,,0,0
B20130803WKD_093300_L..N01R,16:10:30,16:10:30,L01N,24,,0,0
B20130803WKD_093800_L..N01R,16:15:30,16:15:30,L01N,24,,0,0
B20130803WKD_094300_L..N01R,16:20:30,16:20:30,L01N,24,,0,0
B20130803WKD_094800_L..N01R,16:25:30,16:25:30,L01N,24,,0,0
B20130803WKD_095300_L..N01R,16:30:30,16:30:30,L01N,24,,0,0
B20130803WKD_095800_L..N01R,16:35:30,16:35:30,L01N,24,,0,0
B20130803WKD_096300_L..N01R,16:40:30,16:40:30,L01N,24,,0,0
B20130803WKD_096800_L..N01R,16:45:30,16:45:30,L01N,24,,0,0
B20130803WKD_097250_L..N01R,16:50:00,16:50:00,L01N,24,,0,0
B20130803WKD_097650_L..N01R,16:54:00,16:54:00,L01N,24,,0,0
B20130803WKD_098050_L..N01R,16:58:00,16:58:00,L01N,24,,0,0
B20130803WKD_098650_L..N01R,17:06:00,17:06:00,L01N,24,,0,0
B20130803WKD_099250_L..N01R,17:10:00,17:10:00,L01N,24,,0,0
B20130803WKD_099800_L..N02R,17:14:00,17:14:00,L01N,23,,0,0
B20130803WKD_100050_L..N01R,17:18:00,17:18:00,L01N,24,,0,0
B20130803WKD_100450_L..N01R,17:22:00,17:22:00,L01N,24,,0,0
B20130803WKD_100850_L..N01R,17:26:00,17:26:00,L01N,24,,0,0
B20130803WKD_101250_L..N01R,17:30:00,17:30:00,L01N,24,,0,0
B20130803WKD_101800_L..N02R,17:34:00,17:34:00,L01N,23,,0,0
B20130803WKD_101950_L..N01R,17:38:00,17:38:00,L01N,24,,0,0
B20130803WKD_102450_L..N01R,17:42:00,17:42:00,L01N,24,,0,0
B20130803WKD_102850_L..N01R,17:46:00,17:46:00,L01N,24,,0,0
B20130803WKD_103400_L..N02R,17:50:00,17:50:00,L01N,23,,0,0
B20130803WKD_103550_L..N01R,17:54:00,17:54:00,L01N,24,,0,0
B20130803WKD_104050_L..N01R,17:58:00,17:58:00,L01N,24,,0,0
B20130803WKD_104450_L..N01R,18:02:00,18:02:00,L01N,24,,0,0
B20130803WKD_104850_L..N01R,18:06:00,18:06:00,L01N,24,,0,0
B20130803WKD_105250_L..N01R,18:10:00,18:10:00,L01N,24,,0,0
B20130803WKD_105650_L..N01R,18:14:00,18:14:00,L01N,24,,0,0
B20130803WKD_106050_L..N01R,18:18:00,18:18:00,L01N,24,,0,0
B20130803WKD_106450_L..N01R,18:22:00,18:22:00,L01N,24,,0,0
B20130803WKD_106850_L..N01R,18:26:00,18:26:00,L01N,24,,0,0
